Instancias\Testes\Evolutivo Instancia-Ins2-Pr0.010000-Pm0.010000-Ger250-Pop250-Iter100;;;;;;;;
Iteracao;Probbilidade de mutacao;Probabilidade de crossover;Tamanho da populacao;Maximo Geracoes;Solucao;MBF;Percentagem de Invalidos;Melhor
74;0.010000;0.010000;250;250;2 3 6 9 11 18 22 27 28 31 36 40 42 50 51 54 59 ;-275.918915;100.000000;0
75;0.010000;0.010000;250;250;2 3 4 17 21 22 28 29 31 35 40 41 43 50 52 60 62 63 64 ;-276.373322;100.000000;0
76;0.010000;0.010000;250;250;2 4 5 9 15 24 28 30 32 34 38 44 46 49 53 55 59 ;-276.078949;100.000000;0
77;0.010000;0.010000;250;250;1 5 10 11 12 14 17 21 23 26 27 28 31 32 33 35 47 52 60 64 ;-276.831177;100.000000;0
78;0.010000;0.010000;250;250;3 5 11 13 14 18 24 26 32 37 47 52 55 56 59 60 61 ;-276.487183;100.000000;0
79;0.010000;0.010000;250;250;1 3 7 12 15 16 21 22 23 24 28 32 37 38 43 53 55 56 57 ;-276.784821;100.000000;0
80;0.010000;0.010000;250;250;4 5 6 10 11 13 17 22 23 30 41 42 43 44 49 58 62 64 ;-276.774994;100.000000;0
81;0.010000;0.010000;250;250;6 9 11 12 13 17 20 22 29 30 31 34 38 44 47 48 49 54 57 60 ;-277.604950;100.000000;0
82;0.010000;0.010000;250;250;6 11 15 16 21 22 23 24 29 33 34 35 39 40 41 48 52 57 60 ;-277.975616;100.000000;0
83;0.010000;0.010000;250;250;3 6 7 16 22 25 28 29 30 37 41 51 52 55 59 60 63 64 ;-277.951813;100.000000;0
84;0.010000;0.010000;250;250;3 9 13 15 17 18 22 25 27 31 34 35 38 41 42 55 58 59 61 62 ;-278.738098;100.000000;0
85;0.010000;0.010000;250;250;4 9 15 16 17 19 23 28 31 37 41 42 43 45 56 64 ;-278.023529;100.000000;0
86;0.010000;0.010000;250;250;1 6 24 28 34 35 36 38 51 54 58 61 ;-276.186035;100.000000;0
87;0.010000;0.010000;250;250;2 5 6 11 13 14 32 33 34 38 39 41 43 50 53 54 55 57 ;-276.091949;100.000000;0
88;0.010000;0.010000;250;250;1 5 11 12 14 15 16 17 19 21 27 31 34 41 46 55 57 ;-275.681824;100.000000;0
89;0.010000;0.010000;250;250;10 11 13 16 26 38 39 41 43 48 51 52 53 54 57 59 60 61 62 ;-276.044952;100.000000;0
90;0.010000;0.010000;250;250;5 7 12 13 14 23 25 29 30 32 34 36 39 44 46 50 53 55 61 ;-276.333344;100.000000;0
91;0.010000;0.010000;250;250;7 9 11 13 14 21 26 30 38 39 40 41 45 46 54 56 ;-275.560425;100.000000;0
92;0.010000;0.010000;250;250;3 7 8 13 14 15 16 23 32 36 37 40 44 45 47 51 54 63 64 ;-275.847839;100.000000;0
93;0.010000;0.010000;250;250;10 11 12 14 19 21 22 24 29 32 34 36 42 43 44 54 56 64 ;-275.741943;100.000000;0
94;0.010000;0.010000;250;250;4 10 12 13 14 17 18 20 22 28 38 45 47 49 50 60 61 62 ;-275.680847;100.000000;0
95;0.010000;0.010000;250;250;10 11 12 14 15 16 26 31 33 39 40 42 45 47 53 ;-274.694733;100.000000;0
96;0.010000;0.010000;250;250;3 11 15 19 20 23 25 26 32 33 40 41 45 46 55 57 58 60 ;-274.708344;100.000000;0
97;0.010000;0.010000;250;250;1 4 12 14 16 24 26 27 30 39 40 44 45 53 62 64 ;-274.164948;100.000000;0
98;0.010000;0.010000;250;250;7 8 10 14 24 27 31 40 41 46 49 50 52 55 58 62 64 ;-273.897949;100.000000;0
99;0.010000;0.010000;250;250;7 10 12 15 16 17 24 29 33 39 48 50 54 56 57 64 ;-273.333344;100.000000;0
86;0.010000;0.010000;250;250;1 6 24 28 34 35 36 38 51 54 58 61 ;-270.600006;100.000000;0
